RecordID,AircraftType,AirportName,AltitudeBin,MakeModel,NumberStruck,NumberStruckActual,Effect,FlightDate,Damage,Engines,Operator,OriginState,FlightPhase,ConditionsPrecipitation,RemainsCollected?,RemainsSentToSmithsonian,Remarks,WildlifeSize,ConditionsSky,WildlifeSpecies,PilotWarned,Cost,Altitude,PeopleInjured,IsAircraftLarge?
314314,Airplane,DALLAS LOVE FIELD ARPT,"(50, 100]",B-737-700,1,1,None,7/20/11 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Approach,None,False,False,NO DMG OR EVID OF BIRDSTRIKE. SAW BIRD AND FELT THUMP WHEN IT HIT A/C. SHORT FINAL.,Medium,Some Cloud,Unknown bird - medium,Y,0,100,0,Yes
314313,Airplane,JACKSONVILLE INTL,"(10, 30]",B-737-300,1,1,None,7/20/11 0:00,No damage,2,SOUTHWEST AIRLINES,Florida,Approach,None,False,False,DURING LANDING R/O STARLING STRUCK COPILOTS WINDSHIELD. NO DMG TO A/C.,Small,Some Cloud,European starling,Y,0,20,0,Yes
314305,Airplane,PENSACOLA REGIONAL,"(-1, 0]",EMB-145,1,1,None,7/20/11 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Florida,Landing Roll,None,True,False,NO DMG REPTD TO A/C.,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
314311,Airplane,WESTCHESTER COUNTY ARPT,"(-1, 0]",CL-RJ100/200,1,1,None,7/20/11 0:00,No damage,2,SKYWEST AIRLINES,New York,Take-off run,None,True,False,WHITE PLAINS ATCT CONTACTED ARPT OPS AND INFORMED OF A/C BIRDSTRIKE. RWY SURFACE INSPN FOUND AN AMER KESTREL AT INTXN OF TWY GOLF AND RWY 34. BIRD REMVD FROM RWY AND NO OTHER FOD FOUND. FLT CONT TO DEST. FLT CREW DID NOT REPT WHERE ON A/C THE BIRD STRUCK,Small,No Cloud,American kestrel,Y,0,0,0,No
314306,Airplane,AUSTIN STRAUBEL INTL,"(-1, 0]",EMB-145,1,1,None,7/20/11 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Wisconsin,Landing Roll,None,True,False,BLACK BIRD.,Small,No Cloud,Unknown bird - small,Y,0,0,0,No
314309,Airplane,PORTLAND INTL (OR),"(-1, 0]",DHC8 DASH 8,1,1,None,7/20/11 0:00,No damage,2,HORIZON AIR,Oregon,Landing Roll,None,True,False,PILOT REPTD HITTING BIRD AT T/D. NO EFFECTS ON OPERATION.,Small,Overcast,Cliff swallow,Y,0,0,0,No
314304,Airplane,JOHN F KENNEDY INTL,"(-1, 0]",MD-88,1,1,None,7/20/11 0:00,No damage,2,DELTA AIR LINES,New York,Take-off run,None,True,False,,Small,No Cloud,Horned lark,Y,0,0,0,No
314302,Airplane,KLAMATH FALLS INTL,"(30, 50]",BE-99,1,1,None,7/20/11 0:00,No damage,2,AMERIFLIGHT,Oregon,Approach,None,True,True,"ID BY SMITHSONIAN. A/C STRUCK BIRD ON LANDING, APPROX 500 FT PAST THRESHOLD.",Small,Some Cloud,Barn swallow,N,0,40,0,No
313478,Airplane,HUNTSVILLE INTL,"(-1, 0]",CL-RJ100/200,1,1,None,7/20/11 0:00,No damage,2,AIR WISCONSIN AIRLINES,Alabama,Take-off run,None,True,True,ID BY SMITHSONIAN. PILOT REPTD POSSIBLE BIRDSTRIKE TO TWR. TWR NOTIFIED ARPT OPS WHO FOUND PART OF A SML BIRD ON RWY 36L NEAR TWY W5. POSSIBLE KILLDEER.,Small,No Cloud,Horned lark,N,0,0,0,No
314303,Airplane,KANSAS CITY INTL,"(-1, 0]",CL-RJ100/200,1,1,None,7/20/11 0:00,No damage,2,COMAIR AIRLINES,Missouri,Take-off run,None,True,True,ID BY SMITHSONIAN. COM FLT 6315 REPTD STRIKING A SMALL BIRD (POSSIBLE SPARROW) UPON DEPT RWY 9. FLT CONT TO DEST.,Small,No Cloud,Horned lark,Y,0,0,0,No
313474,Airplane,HARRISBURG INTL,"(50, 100]",EMB-145,1,1,None,7/20/11 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Pennsylvania,Approach,None,True,True,ID BY SMITHSONIAN. BIRD REMOVED FROM RWY 13 @ TWY C. A/C WAS FLARING FOR FINAL. NO DMG. (REPORTS DIFFER ON ALT AND PHASE),Small,No Cloud,Bank swallow,Y,0,100,0,No
314300,Airplane,SACRAMENTO INTL,"(30, 50]",B-737-700,1,1,None,7/20/11 0:00,No damage,2,ALASKA AIRLINES,California,Approach,None,True,True,"ID BY SMITHSONIAN. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1.",Small,No Cloud,Cliff swallow,Y,0,50,0,Yes
313582,Airplane,V C BIRD INTL ARPT,"(-1, 0]",B-737-800,1,1,None,7/21/11 0:00,No damage,2,AMERICAN AIRLINES,,Take-off run,None,False,False,"ENTERED TOP OF COMPRESSOR. BELIEVE BASED ON SMALL ""BIRD DUST"" ON N1 AND FEATHER STUCK AT TOP OF COMPRESSOR INLET THAT MOST OF THE BIRD MIGHT HAVE MISSED THE COMPRESSOR. EVIDENCE AGAINST THIS IS V.C. BIRD TOWER REPORTING NO DEBRIS FOUND ON RWY.",Medium,Some Cloud,Egrets,N,0,0,0,Yes
314108,Airplane,HARRISBURG INTL,"(50, 100]",DHC8 DASH 8,1,1,None,7/21/11 0:00,No damage,2,COMMUTAIR,Pennsylvania,Climb,None,False,False,OVER RWY.,Small,No Cloud,Unknown bird - small,N,0,100,0,No
313584,Airplane,LA CROSSE MUNICIPAL AIRPORT,"(-1, 0]",MD-83,1,1,None,7/21/11 0:00,No damage,2,ALLEGIANT AIR,Wisconsin,Take-off run,None,False,False,"(DATA ENTRY NOTE: DMG COST REPTD AS $2,000, ASSUME IT BELONGED WITH OTHER COST SINCE NO DAMAGE WAS CHECKED. DID NOT RECEIVE REPLY FROM QUESTION SENT TO REPORTER)",Small,No Cloud,Unknown bird - small,N,"10,000",0,0,No
314107,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,"(100, 200]",CL-RJ100/200,1,1,None,7/21/11 0:00,No damage,2,COMAIR AIRLINES,Kentucky,Approach,None,False,False,,Medium,Some Cloud,Unknown bird - medium,Y,0,150,0,No
314111,Airplane,GERALD R FORD INTL,"(-1, 0]",EMB-145,1,1,None,7/21/11 0:00,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Michigan,Take-off run,None,True,False,PILOT REPTD STRIKE TO ATC. CARCASS REMVD ON 17 @ B3.,Small,No Cloud,American kestrel,Y,0,0,0,No
314319,Airplane,GEORGE BUSH INTERCONTINENTAL,"(-1, 0]",CL-RJ900,1,1,None,7/21/11 0:00,No damage,2,ATLANTIC SOUTHEAST,Texas,Landing Roll,None,True,False,"ASQ 4931 REPTD HITTING A BIRD DURING L/R ON 26L. POSSIBLE IMPACT ON NOSE GEAR DOOR, NO DMG REPTD. POST STRIKE INSPN ON 26L LOCATED A MOURNING DOVE CARCASS ON RWY C/L ABEAM NN HIGH-SPEED EXIT.",Small,Some Cloud,Mourning dove,Y,0,0,0,No
314106,Airplane,ADAMS FIELD ARPT,"(50, 100]",CL-RJ100/200,1,1,None,7/21/11 0:00,No damage,2,ATLANTIC SOUTHEAST,Arkansas,Approach,None,True,True,STRIKE ON L/E OF LT WING. LANDING FLARE. NO DMG.,Small,Some Cloud,Barn swallow,N,0,80,0,No
313586,Airplane,BOLIVAR MUNICIPAL ARPT,"(-1, 0]",PA-32,1,1,Other,7/21/11 0:00,Caused damage,1,PRIVATELY OWNED,Missouri,Landing Roll,None,False,False,STRUCK LARGE BUCK WHILE LANDING. DAMAGE TO LEFT WING ALLOWED A LRG AMT OF FUEL TO LEAK ONTO THE RWY.,Large,No Cloud,White-tailed deer,N,"25,000",0,0,No
314809,Airplane,BOULDER CITY MUNICIPAL ARPT,"(0, 10]",DHC6,1,1,None,7/21/11 0:00,No damage,2,SCENIC AIRLINES,Nevada,Approach,None,False,False,20 MINS OUT OF SERVICE,Small,No Cloud,Unknown bird - small,N,0,10,0,No
314335,Airplane,LAMBERT-ST LOUIS INTL,"(-1, 0]",MD-88,1,1,None,7/22/11 0:00,No damage,2,DELTA AIR LINES,Missouri,Landing Roll,None,False,False,NO BIRDS FOUND AFTER INSPN.,Small,No Cloud,Unknown bird - small,Y,0,0,0,No
314345,Airplane,GREENVILLE-SPARTANBURG INTL,"(100, 200]",B-737-700,1,1,None,7/22/11 0:00,No damage,2,SOUTHWEST AIRLINES,South Carolina,Climb,None,False,False,NO DMG.,Medium,No Cloud,Unknown bird - medium,N,0,150,0,Yes
314341,Airplane,QUAD CITY ARPT,"(-1, 0]",CL-RJ700,1,1,None,7/22/11 0:00,No damage,2,ALASKA AIRLINES,Illinois,Landing Roll,None,False,False,ATIS WARNING.,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
314347,Airplane,GEORGE BUSH INTERCONTINENTAL,"(-1, 0]",CL-RJ700,1,1,None,7/22/11 0:00,No damage,2,UFS-UNITED EXPRESS,Texas,Landing Roll,None,False,False,PILOT OF SKW 1140 REPTD UNITED EXPRESS CRJ700 STRUCK A SMALL BIRD DURING L/R RWY 26. A/C NOT DMGED BY BIRDSTRIKE. INSPN OF RWY 26 NO BIRD CARCASS FOUND.,Small,No Cloud,Unknown bird - small,Y,0,0,0,No
313591,Airplane,LAMBERT-ST LOUIS INTL,"(50, 100]",B-737-300,1,1,None,7/22/11 0:00,No damage,2,SOUTHWEST AIRLINES,Missouri,Approach,None,False,False,NO DMG. BIRD HIT NEAR ROOT OF LWR WING LEADING EDGE.,Small,No Cloud,Sparrows,Y,0,100,0,Yes
313589,Airplane,MORRISTOWN MUNICIPAL ARPT,"(-1, 0]",DA-900,1,1,None,7/22/11 0:00,No damage,3,BUSINESS,New Jersey,Landing Roll,None,True,False,"FOUND ON RWY 5 TWY H 15' W OF CENTERLINE. (BIRD ALSO REPTD AS ""SPARO""",Small,No Cloud,European starling,Y,0,0,0,No
314342,Airplane,KAHULUI ARPT,"(-1, 0]",CL-RJ100/200,1,1,None,7/22/11 0:00,No damage,2,MESA AIRLINES,Hawaii,Landing Roll,None,True,False,EURASIAN SKYLARK. GO PILOTS REPTD POSSIBLE BIRDSTRIKE TO MAUI TOWER WHILE LANDING RWY 2. RWY INSPN FOUND A CARCASS ON W SIDE C/L ABOUT 4300 FT REM. AOC CONTACTED WS TO MEET TO HAND OVER CARCASS. WS CONFIRMED CARCASS AS A EURASIAN SKYLARK.,Small,Some Cloud,Sky lark,Y,0,0,0,No
313592,Airplane,CLEVELAND-HOPKINS INTL ARPT,"(30, 50]",CL-RJ100/200,1,1,None,7/22/11 0:00,No damage,2,PINNACLE,Ohio,Approach,None,True,False,NO DMG,Small,Some Cloud,Killdeer,Y,0,50,0,No
314343,Airplane,LAGUARDIA NY,"(-1, 0]",CL-RJ100/200,1,1,None,7/22/11 0:00,No damage,2,PSA AIRLINES,New York,Landing Roll,None,True,True,ID BY SMITHSONIAN. FLO REPTD SEEING THREE SMALL BIRDS ON FINAL R/O. ONE STRUCK WINDSCREEN. F/O REPTD STRIKE TO ROWER WHO REPTD IT TO PANYNJ. SNARGE SAMPLE TAKEND SND SENT TO SI. NO DMG OR DEPAYS INCURRED.,Small,No Cloud,Barn swallow,N,0,0,0,No
314336,Airplane,STEWART INTL AIRPORT,"(10, 30]",B-727-200,1,1,None,7/22/11 0:00,No damage,3,FEDEX EXPRESS,New York,Approach,None,True,True,ID BY SMITHSONIAN. PILOT REPTD STRIKE. NO DMG. CONT ON SCHED DEPT.,Small,No Cloud,Barn swallow,N,0,20,0,No
314344,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,"(-1, 0]",CL-RJ700,1,1,None,7/22/11 0:00,No damage,2,PSA AIRLINES,North Carolina,Landing Roll,None,True,True,"ID BY SMITHSONIAN. NO DMG. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN. (BIRD 1ST REPTD AS DOVE)",Small,No Cloud,Killdeer,Y,0,0,0,No
314810,Airplane,UKIAH MUNICIPAL ARPT,"(-1, 0]",GRUMMAN S-2 TRACKER,1,1,None,7/22/11 0:00,No damage,,GOVERNMENT,California,Take-off run,None,False,False,HIT FLAP HINGE.,Small,No Cloud,Unknown bird - small,N,0,0,0,No
314813,Airplane,CHICAGO O'HARE INTL ARPT,"(-1, 0]",EMB-145,1,1,None,7/23/11 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Illinois,Take-off run,None,False,False,,Small,Overcast,Unknown bird - small,Y,0,0,0,No
