Date,Price,Open,High,Low,Vol.,Change %
1/22/24,421.73,423.41,424.73,421.12,44.88M,0.13%
1/23/24,423.48,422.43,423.7,420.57,33.00M,0.41%
1/24/24,425.83,427.44,429.85,425.33,46.95M,0.55%
1/25/24,426.35,428.36,429.04,423.98,44.37M,0.12%
1/26/24,423.81,424.44,426.21,423.15,37.14M,-0.60%
1/29/24,428.15,424.27,428.35,423.61,38.69M,1.02%
1/30/24,425.3,427.1,427.68,424.38,36.74M,-0.67%
1/31/24,416.97,420.85,422.87,416.79,64.01M,-1.96%
2/1/24,421.88,418.79,422.38,417.81,51.01M,1.18%
2/2/24,429.01,423.8,430.24,422.79,59.60M,1.69%
2/5/24,428.45,429.07,429.61,425,39.89M,-0.13%
2/6/24,427.59,429.61,430.22,425.22,35.85M,-0.20%
2/7/24,431.99,430.41,432.83,429.09,37.71M,1.03%
2/8/24,432.79,432.11,433.56,431.42,29.89M,0.19%
2/9/24,437.05,433.94,437.85,433.14,36.94M,0.98%
2/12/24,435.34,436.94,439.14,434.65,33.20M,-0.39%
2/13/24,428.55,427.28,431.27,425.33,64.49M,-1.56%
2/14/24,433.22,431.26,433.65,428.88,45.09M,1.09%
2/15/24,434.51,433.92,434.98,431.33,38.80M,0.30%
2/16/24,430.57,434.89,434.99,429.85,53.72M,-0.91%
2/20/24,427.32,428.55,430.08,423.5,54.00M,-0.75%
2/21/24,425.61,424.55,425.7,421.63,50.18M,-0.40%
2/22/24,438.07,434.49,439.12,433.71,53.89M,2.93%
2/23/24,436.78,439.65,440.59,435.79,39.85M,-0.29%
2/26/24,436.55,437.6,438.6,436.36,33.04M,-0.05%
2/27/24,437.6,437.67,437.99,435.02,33.71M,0.24%
2/28/24,435.27,435.43,436.67,434.3,32.94M,-0.53%
2/29/24,439,438.23,440.09,435.02,42.50M,0.86%
3/1/24,445.61,439.9,446.58,439.84,43.85M,1.51%
3/4/24,444.02,445.61,446.04,443.77,34.33M,-0.36%
3/5/24,436.05,440.94,440.95,433.65,57.92M,-1.79%
3/6/24,438.79,440.32,441.99,436.89,46.23M,0.63%
3/7/24,445.45,442.42,446.72,440.86,44.53M,1.52%
3/8/24,439.02,445.81,448.64,438.34,72.10M,-1.44%
3/11/24,437.39,437.51,438.66,435.44,45.86M,-0.37%
3/12/24,443.66,439.73,444.02,436.46,55.30M,1.43%
3/13/24,440.25,442.65,442.67,439.12,37.93M,-0.77%
3/14/24,439.14,441.5,442.03,436.39,52.20M,-0.25%
3/15/24,433.92,436.07,438.87,432.74,73.07M,-1.19%
3/18/24,437.48,438.73,441.04,437.24,47.32M,0.82%
3/19/24,438.57,435.45,438.98,433.33,43.00M,0.25%
3/20/24,443.77,439.78,444.11,438.06,43.65M,1.19%
3/21/24,445.87,448.88,449.34,445.67,39.35M,0.47%
3/22/24,446.38,445.35,447.49,444.49,28.25M,0.11%
3/25/24,444.76,443.55,446.26,442.54,27.79M,-0.36%
3/26/24,443.32,446.3,447.23,443.09,34.14M,-0.32%
3/27/24,444.83,446.44,446.54,441.93,41.36M,0.34%
3/28/24,444.01,444.78,445.64,443.65,36.84M,-0.18%
4/1/24,444.95,444.97,447.53,443.02,38.73M,0.21%
4/2/24,441.11,440.08,441.43,438.03,44.26M,-0.86%
4/3/24,442.1,438.96,444,438.95,39.95M,0.22%
4/4/24,435.34,446.33,446.95,435.11,57.27M,-1.53%
4/5/24,440.47,436.78,443.17,435.96,54.74M,1.18%
4/8/24,440.6,441.41,442.5,439.2,28.14M,0.03%
4/9/24,442.23,442.96,443.24,437.44,39.52M,0.37%
4/10/24,438.37,437,439.24,436.28,61.50M,-0.87%
4/11/24,445.37,440.26,446.33,437.96,45.47M,1.60%
4/12/24,438.27,441.1,442.24,436.88,53.66M,-1.59%
4/15/24,431.06,442.06,442.15,430.21,63.45M,-1.65%
4/16/24,431.1,430.9,433.76,429.7,47.62M,0.01%
4/17/24,425.84,433.1,433.12,424.9,56.88M,-1.22%
4/18/24,423.41,426.49,428.24,422.83,46.55M,-0.57%
4/19/24,414.65,422.22,422.75,413.07,75.23M,-2.07%
4/22/24,418.82,417.31,421.18,413.94,47.81M,1.01%
4/23/24,425.07,420.77,426.28,418.87,44.38M,1.49%
4/24/24,426.51,428.2,429.73,424.2,48.44M,0.34%
4/25/24,424.45,419.24,425.32,418.14,57.39M,-0.48%
4/26/24,431,427.62,432.55,426.92,41.87M,1.54%
4/29/24,432.75,433.13,433.76,429.98,30.02M,0.41%
4/30/24,424.59,431.15,432.56,424.51,43.67M,-1.89%
5/1/24,421.52,423.15,430.14,420.66,52.25M,-0.72%
5/2/24,426.9,425.3,427.81,420.63,36.56M,1.28%
5/3/24,435.48,434.44,436.48,432.62,48.52M,2.01%
5/6/24,440.25,437.3,440.34,436.52,30.23M,1.10%
5/7/24,440.32,440.7,441.97,439.58,31.00M,0.02%
5/8/24,440.06,437.67,441.48,437.55,24.90M,-0.06%
5/9/24,441.02,440.33,441.6,438.46,24.58M,0.22%
5/10/24,442.06,442.54,444.31,440.5,27.12M,0.24%
5/13/24,443.08,443.99,444.09,441.65,22.99M,0.23%
5/14/24,445.93,442.65,446.46,442.46,34.48M,0.64%
5/15/24,452.9,448.43,453.15,446.9,41.46M,1.56%
5/16/24,451.98,452.71,454.69,451.81,34.78M,-0.20%
5/17/24,451.76,452.11,452.72,449.54,35.80M,-0.05%
5/20/24,454.91,451.98,455.58,451.79,24.47M,0.70%
5/21/24,455.8,453.04,455.99,452.84,23.17M,0.20%
5/22/24,455.71,456.06,456.82,453.08,25.12M,-0.02%
5/23/24,453.66,460.55,460.58,451.85,40.90M,-0.45%
5/24/24,457.95,455.29,459.23,453.57,29.67M,0.95%
5/28/24,459.68,459.18,459.74,456.69,26.22M,0.38%
5/29/24,456.44,455.48,458.24,455.34,29.74M,-0.70%
5/30/24,451.55,455.5,455.64,450.21,30.71M,-1.07%
5/31/24,450.71,451.78,452.48,443.05,55.94M,-0.19%
6/3/24,453.13,454.57,455.58,447.9,33.00M,0.54%
6/4/24,454.37,452.87,455.58,451.13,23.77M,0.27%
6/5/24,463.53,457.98,463.61,454.41,33.82M,2.02%
6/6/24,463.37,464.22,464.54,462.19,21.97M,-0.03%
6/7/24,462.96,463,465.74,461.84,25.83M,-0.09%
6/10/24,464.83,461.82,465.19,461.53,20.72M,0.40%
6/11/24,468.02,463.54,468.14,462.03,22.05M,0.69%
6/12/24,474.15,471.99,476.5,471.29,34.53M,1.31%
6/13/24,476.72,477.72,478.39,474.42,25.86M,0.54%
6/14/24,479.19,476.52,479.26,476.05,23.37M,0.52%
6/17/24,485.06,479.46,486.86,478.14,37.05M,1.22%
6/18/24,485.21,485.01,485.9,483.43,24.44M,0.03%
6/20/24,481.47,486.42,486.84,479.62,33.92M,-0.77%
6/21/24,480.18,481.19,482.54,478.67,39.43M,-0.27%
6/24/24,473.96,478.18,479.93,473.82,37.75M,-1.30%
6/25/24,479.38,476.07,479.68,475.12,29.25M,1.14%
6/26/24,480.37,478.55,480.92,478.13,22.74M,0.21%
6/27/24,481.61,480.12,483.1,479.3,26.22M,0.26%
6/28/24,479.11,482.41,487.2,478.46,34.88M,-0.52%
7/1/24,481.92,480.04,482.49,476.26,24.90M,0.59%
7/2/24,486.98,480.41,487.04,480.28,26.72M,1.05%
7/3/24,491.04,486.22,491.17,486.22,18.06M,0.83%
7/5/24,496.16,491.89,496.6,491.59,28.50M,1.04%
7/8/24,497.34,496.53,497.89,495.5,22.11M,0.24%
7/9/24,497.77,498.87,500,496.24,25.70M,0.09%
7/10/24,502.96,499.71,503.52,498.39,28.05M,1.04%
7/11/24,491.93,503.07,503.28,490.73,49.97M,-2.19%
7/12/24,494.82,492.51,499.62,492.04,37.11M,0.59%
7/15/24,496.15,496.61,501.01,494.09,31.15M,0.27%
7/16/24,496.34,497.62,498.44,493.15,25.95M,0.04%
7/17/24,481.77,488.28,488.8,481.7,56.27M,-2.94%
7/18/24,479.49,485.53,485.71,476.27,49.35M,-0.47%
7/19/24,475.24,479.15,481.69,473.94,42.04M,-0.89%
7/22/24,482.32,481.16,483.35,477.71,40.30M,1.49%
7/23/24,480.62,481.41,484.43,480.14,23.28M,-0.35%
7/24/24,463.38,473.82,474.19,462.51,58.82M,-3.59%
7/25/24,458.27,463.72,467.94,455.63,59.26M,-1.10%
